Event Name,Date,Month,Venue,Venue2,Level of Licence,WA,Entry Details,Licence Number,Longitude,Latitude
Berkshire Athletics County Championships,14-May,May,Palmer Park Athletic Track,Reading,1,,,OUT 23/203,-0.9696512,51.456659
Wiltshire County Championships ,14-May,May,County Ground Track - Swindon,Swindon,1,,,OUT 23/222,-1.77101507,51.56446595
Nottinghamshire & Derbyshire County Championships,14-May,May,Harvey Hadden Athletic Stadium,Nottingham,1,,,OUT 23/243,-1.216395,52.968063
Yorkshire County Championships,14-May,May,Dorothy Hyman Sports Centre,Cudworth,2,WA F,https://www.race-results.co.uk/results/2023/,OUT 23/347,-1.411029309,53.57425995
Norfolk County Championships ,14-May,May,Sportspark at UEA,Norwich,1,,,OUT 23/248,1.2410625,52.6238125
Northamptonshire & Leicestershire & Rutland County Championships ,14-May,May,Rockingham Triangle Sports Stadium (Corby),Corby,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13662,OUT 23/254,-0.71468749,52.5070625
Kent County Championships,14-May,May,Norman Park Athletic Track,Bromley,2,WA F,,OUT 23/267,0.0213125,51.3868125
Devon County Championships,14-May,May,Exeter Arena,Exeter,1,,https://data.opentrack.run/en-gb/x/2023/GBR/devoncountychamps/,OUT 23/270,-3.491320974,50.73765245
Hertfordshire & Bedfordshire County Championships,14-May,May,Woodside Stadium,Watford,1,,http://hertscaaa.org.uk/,OUT 23/271,-0.3945440682,51.69587595
Essex County Championships,14-May,May,Blackshots Athletic Stadium (Thurrock),Grays,2,WA,https://meets.rosterathletics.com/public/competitions/details/participants?id=13894,OUT 23/289,0.3470567,51.4935653
Buckinghamshire & Oxfordshire County Championships,14-May,May,Oxford Horspath Athletics Stadium,Horspath,2,,https://meets.rosterathletics.com/public/competitions/details/about?id=14214,OUT 23/297,-1.1871875,51.7374375
Merseyside County Championships,14-May,May,Wavertree Athletic Track,Liverpool,1,,https://www.race-results.co.uk/onlineentries/user/login.php?raceid=4852,OUT 23/299,-2.9239375,53.3958125
Gloucestershire County Championships,14-May,May,Blackbridge Athletics Track,Gloucester,1,,https://www.athletics4u.co.uk/track-and-field/,OUT 23/309,-2.235105,51.853862
Hampshire County Championships,14-May,May,Mountbatten Centre,Portsmouth,2,WA,,OUT 23/332,-1.082616998,50.82464535
Surrey County Championships,14-May,May,Weir Archer Athletics Track (Kingsmeadow),Kingston,2,WA,https://data.opentrack.run/en-gb/x/2023/GBR/tfsurrey/,OUT 23/334,-0.2836903,51.4052927
Southern Counties VAC League - Mid-London Division,15-May,May,Millenium Arena Battersea Park,Battersea Park,1,,,OUT 23/195,-0.146969,51.47698
North East Masters AA League,15-May,May,Monkton Stadium,Jarrow,1,,https://www.nemaa.co.uk/track-and-field.html,OUT 23/205,-1.497931582,54.9656323
Trafford Grand Prix,16-May,May,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/065,-2.28935,53.44636
BMC Gold Standard  - Trafford ,16-May,May,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.britishmilersclub.com/,OUT 23/125,-2.28935,53.44636
Watford Harriers Open Graded Meetings,17-May,May,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,17-May,May,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
BMC Watford Gold Standard,17-May,May,Woodside Stadium,Watford,2,WA F,https://www.britishmilersclub.com/,OUT 23/138,-0.3945440682,51.69587595
BMC Regional Race,17-May,May,Paula Radcliffe Athletics Stadium,Loughborough,1,,https://www.britishmilersclub.com/,OUT 23/320,-1.230372,52.769183
Rosenheim League - West,17-May,May,Weir Archer Athletics Track (Kingsmeadow),Kingston,1,,,OUT 23/350,-0.2836903,51.4052927
Rosenheim League - East,17-May,May,Millenium Arena Battersea Park,Battersea Park,1,,,OUT 23/350,-0.146969,51.47698
Ashford AC Jumps & Throws Open Meeting,18-May,May,Julie Rose Stadium,Ashford,1,,,OUT 23/261,0.899562,51.1552996
Southern Athletics League Divisions 3 Kent,19-May,May,Central Park Athletics Arena,Dartford,1,,https://www.southernathletics.org.uk/,OUT 23/226,0.220864,51.441631
Southern Athletics League Divisions 3 South,19-May,May,Central Park Athletics Arena,Dartford,1,,https://www.southernathletics.org.uk/,OUT 23/226,0.220864,51.441631
Highgate Harriers Night of the 10000m PB's inc. British Championships & World Championships Trials,20-May,May,Parliament Hill Fields Track,Parliament Hill,2,WA B,,OUT 23/015,-0.1556875,51.5570625
Northern Track & Field League East 1S,20-May,May,Princess Royal Sports Arena (DABSI),Boston,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/028,-0.069759,52.9771639
Northern Track & Field League East 1N,20-May,May,John Charles Centre for Sport (South Leeds Stadium),Leeds (JC),1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/029,-1.542254,53.764693
Northern Track & Field League West Premier,20-May,May,Ellesmere Port Sports Village,Ellesmere Port,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/030,-2.894311448,53.26567295
Northern Track & Field League West 2,20-May,May,Witton Park Track,Blackburn,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/031,-2.5148125,53.7391875
Northern Track & Field League North East 1,20-May,May,Shildon - Stadium 2000,Shildon,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/032,-1.648251,54.632837
Northern Track & Field League East Premier,20-May,May,University of York,York,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/044,-1.031459294,53.9453903
Southern Athletics League Division 3 West,20-May,May,Ashdown Leisure Centre,Poole,1,,https://www.southernathletics.org.uk/,OUT 23/060,-1.9664201,50.7487411
Southern Athletics League Division 2 North & East - NO HAMMER/DISCUS,20-May,May,Finsbury Park,Finsbury Park,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.1010625,51.5715625
Southern Athletics League Division 2 North & East,20-May,May,Hornchurch Stadium,Hornchurch,1,,https://www.southernathletics.org.uk/,OUT 23/070,0.2383170571,51.5565905
Southern Athletics League Division 2 North & East,20-May,May,"One Leisure Centre, St Ives",St. Ives,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.092947,52.336512
Northern Track & Field League West 1S - NO HIGH JUMP/HAMMER/DISCUS/WEIGHT/CLUB THROW,20-May,May,Macclesfield Athletics Track,Macclesfield,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/075,-2.165140807,53.2681353
Northern Track & Field League West 1N - NO POLE VAULT/HAMMER/DISCUS,20-May,May,Richmond Street Athletics Stadium,Ashton-under-Lyne,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/084,-2.1144375,53.4938125
BWAA Grand Prix Series,20-May,May,Stoke Mandeville Stadium,Stoke Mandeville,2,,,OUT 23/089,-0.784342,51.787885
Northern Track & Field League North East Premier,20-May,May,Morpeth Athletics Track,Morpeth,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/107,-1.6907444,55.1675437
Northern Track & Field League East 2,20-May,May,Princess Mary Athletic Stadium,Cleckheaton,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/120,-1.7140939,53.7264346
Midland Counties League Division 1,20-May,May,Blackbridge Athletics Track,Gloucester,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/171,-2.235105,51.853862
Midland Counties League Division 4SE,20-May,May,The Pingles Stadium,Nuneaton,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/172,-1.464162493,52.515688
Midland Counties League Division 4NE,20-May,May,Shobnall Athletics Track,Burton,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/234,-0.56667,53.26667
Midland Counties League Division 2,20-May,May,Yate Outdoor Sports Complex,Yate,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/285,-2.4243125,51.55581249
Southern Athletics League Division 1,20-May,May,Down Grange Athletic Track,Basingstoke,1,,https://www.southernathletics.org.uk/,OUT 23/341,-1.1265625,51.2483125
Southern Athletics League Division 1,20-May,May,Bracknell Sports & Leisure Centre Athletics Stadium,Bracknell,1,,https://www.southernathletics.org.uk/,OUT 23/341,-0.7449925,51.4143513
Southern Athletics League Division 1,20-May,May,Colchester Station Athletics Track,Colchester,1,,https://www.southernathletics.org.uk/,OUT 23/341,0.89618749,51.8816875
Southern Athletics League Division 3 North,20-May,May,Braintree Leisure Centre,Braintree,1,,https://www.southernathletics.org.uk/,OUT 23/349,0.554597,51.882406
Southern Athletics League Division 3 North,20-May,May,Stantonbury Stadium,Milton Keynes,1,,https://www.southernathletics.org.uk/,OUT 23/349,-0.769329,52.058685
Southern Athletics League Division 3 North,20-May,May,Woodside Stadium,Watford,1,,https://www.southernathletics.org.uk/,OUT 23/349,-0.3945440682,51.69587595
Wessex Young Athletes' League,21-May,May,County Ground Track - Swindon,Swindon,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.77101507,51.56446595
North East Youth Development League - Division 1,21-May,May,Churchill,Whitley Bay,1,,http://www.neydl.website,OUT 23/048,-1.4620499,55.045704
North East Youth Development League - Division 2,21-May,May,Shildon - Stadium 2000,Shildon,1,,http://www.neydl.website,OUT 23/048,-1.648251,54.632837
Eastern Young Athletes League,21-May,May,Stonex Stadium,Hendon,1,,http://eyal.org.uk/,OUT 23/061,-0.2236569504,51.60371995
Eastern Young Athletes League,21-May,May,Gloucester Park Athletics Stadium (Basildon Sports Village),Basildon,1,,http://eyal.org.uk/,OUT 23/061,0.4757363,51.5754602
Eastern Young Athletes League,21-May,May,Westminster Lodge Athletics Track,St. Albans,1,,http://eyal.org.uk/,OUT 23/061,-0.344495,51.745663
Eastern Young Athletes League,21-May,May,Ridlins Wood Athletics Track,Stevenage,1,,http://eyal.org.uk/,OUT 23/061,-0.2027155,51.9016663
Yorkshire & District League 1,21-May,May,King George V Stadium,Grimsby,1,,,OUT 23/146,-0.0590485,53.555316
Yorkshire & District League Division 2,21-May,May,King George V Stadium,Grimsby,1,,,OUT 23/146,-0.0590485,53.555316
scottishathletics Throws & Jumps Grand Prix 1,21-May,May,Grangemouth Sports Stadium,Grangemouth,2,WA F,,OUT 23/155,-3.7081875,56.0053125
Loughborough International ,21-May,May,Paula Radcliffe Athletics Stadium,Loughborough,2,WA F,,OUT 23/178,-1.230372,52.769183
Avon League,21-May,May,Yate Outdoor Sports Complex,Yate,1,,http://s250914043.websitehome.co.uk/avonleague/,OUT 23/198,-2.4243125,51.55581249
Aztec Track & Field Series,21-May,May,Footes Lane (Garenne Stand),St. Peter Port,1,,,OUT 23/230,-2.5639734,49.4645552
Heart of England League Division 2,21-May,May,Alan Moreton Track (Stourport),Stourport,1,,https://hofe-league.org.uk/,OUT 23/253,-2.280539,52.34658
Devon Open 2,21-May,May,Brickfields Athletic Track,Plymouth,1,,https://data.opentrack.run/en-gb/x/2023/GBR/devonopen23m2/,OUT 23/269,-4.1689375,50.3718125
Mid Lancs Track & Field League,21-May,May,Sheepmount Athletics Stadium,Carlisle,1,,http://www.midlancs.org.uk/,OUT 23/352,-2.947561,54.902903
Notts Mini League,21-May,May,Newark Sports Village,Newark,1,,www. notts-minileague.co.uk,OUT 23/360,-0.8000625,53.0620625
Heart of England League Division 3,21-May,May,The Queen's Diamond Jubilee Centre,Nuneaton,1,,https://hofe-league.org.uk/,OUT 23/361,-1.254627,52.365789
Southern Counties VAC League - Hampshire Division,22-May,May,Southampton Sports Centre (Bassett Outdoor),Southampton,1,,https://www.hampshirevetsleague.org.uk/,OUT 23/133,-1.419689,50.937383
Invicta East Kent AC Open Meeting,22-May,May,Canterbury High School,Canterbury,1,,https://invictaeastkentac.org.uk/index.php,OUT 23/312,1.0634828,51.2793854
Southern Counties Veterans League - South London Division,22-May,May,King Georges Rec Ground (Ewell Court),Ewell,1,,,OUT 23/325,-0.2650625,51.3583125
Southern Counties VAC League - Herts & North Middlesex Division,22-May,May,Lee Valley Athletics Centre,Lee Valley,1,,,OUT 23/326,-0.038032,51.629996
Kettering Town Harriers Evening Open,23-May,May,Kettering Athletics Track,Kettering,1,,https://entry4sports.co.uk/#/,OUT 23/318,-0.717797,52.396803
Oxon & Bucks Midweek Open Meeting,24-May,May,Oxford Horspath Athletics Stadium,Horspath,1,,https://www.rosterathletics.com/,OUT 23/114,-1.1871875,51.7374375
North East Grand Prix,24-May,May,Monkton Stadium,Jarrow,1,,https://necaa.weebly.com/,OUT 23/157,-1.497931582,54.9656323
BMC Regional Meeting,24-May,May,Sutcliffe Park Athletics Track,Eltham,1,,https://www.britishmilersclub.com/,OUT 23/185,0.0541253,51.4505687
Isle of Man League,24-May,May,National Sports Centre (IOM),Douglas,1,,,OUT 23/224,-4.504653,54.152616
Birchfield Mid Week Open,24-May,May,Alexander Stadium - Main Stadium,Birmingham,2,WA,https://entry4sports.co.uk/#/,OUT 23/366,-1.906396,52.530985
Hampshire  Schools AA Pentathlon Championships ,25-May,May,Charlton Centre Athletics Track,Andover,1,,,OUT 23/219,-1.5098125,51.2201875
Waverley Summer Jumps,25-May,May,Woolmer Hill Recreation Ground,Haslemere,1,,,OUT 23/348,-0.74831249,51.0944375
Shropshire Young Athlete's League,25-May,May,Willam Brookes Academy - Much Wenlock,Much Wenlock,1,,,OUT 23/353,-2.5578451,52.5955951
Tommy Clay Development Meeting,26-May,May,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
Southern Counties Veterans AC Kent Division 1,26-May,May,Central Park Athletics Arena,Dartford,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.220864,51.441631
Southern Counties Veterans AC Kent Division 2,26-May,May,Central Park Athletics Arena,Dartford,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.220864,51.441631
Reading AC Development League,26-May,May,Palmer Park Athletic Track,Reading,1,,,OUT 23/305,-0.9696512,51.456659
Northern Inter-County Championship,27-May,May,University of York,York,2,WA F,www.northernathletics.co.uk,OUT 23/036,-1.031459294,53.9453903
Dwarf Sports 30th Anniversary National Games,27-May,May,Aldersley Leisure Village (Wolverhampton),Wolverhampton,1,,,OUT 23/093,-2.1491911,52.6065163
BMC Grand Prix - World Athletics Challenger,27-May,May,Manchester Regional Athletics Arena (outdoor),Sportcity,2,WA D,https://www.britishmilersclub.com/,OUT 23/108,-2.2039375,53.4838125
Loughborough Throws Pathway International,27-May,May,Paula Radcliffe Athletics Stadium,Loughborough,2,WA F,,OUT 23/180,-1.230372,52.769183
"South London Athletics Network 1,2,3,4 Sprint Open & Relay Meeting ",27-May,May,Tooting Bec Athletics Track,Tooting Bec,1,,https://data.opentrack.run/en-gb/x/2023/GBR/sprintslan/ ,OUT 23/210,-0.1458246,51.4311924
Isle of Man Championships,27-May,May,National Sports Centre (IOM),Douglas,1,,,OUT 23/223,-4.504653,54.152616
Alder Valley League - No hammer or discus,27-May,May,Guildford Spectrum Athletic Track,Guildford,1,,,OUT 23/239,-0.5613791,51.2503854
England Athletics Senior & U20 Combined Event Championships,27-May,May,Manchester Regional Athletics Arena,Sportcity,2,WA B,https://www.englandathletics.org/athletics-and-running/england-competitions/national-championships/2023-championships-calendar-and-results/,OUT 23/300,-2.2039375,53.4838125
Derbyshire Mini League,27-May,May,Moorways Athletics Stadium,Derby,1,,,OUT 23/329,-1.457212,52.891228
South West Athletics League,28-May,May,Exeter Arena,Exeter,1,,,OUT 23/055,-3.491320974,50.73765245
Scottish National Athletics League ,28-May,May,Aberdeen Sports Village - Outdoor,Aberdeen,2,WA F,,OUT 23/097,-2.093606,57.162666
Isle of Man Championships,28-May,May,National Sports Centre (IOM),Douglas,1,,,OUT 23/223,-4.504653,54.152616
Aztec Track & Field Series,28-May,May,Footes Lane (Garenne Stand),St. Peter Port,1,,,OUT 23/230,-2.5639734,49.4645552
England Athletics Senior & U20 Combined Event Championships,28-May,May,Manchester Regional Athletics Arena,Sportcity,2,WA B,https://www.englandathletics.org/athletics-and-running/england-competitions/national-championships/2023-championships-calendar-and-results/,OUT 23/300,-2.2039375,53.4838125
Trafford Medal Meetings,29-May,May,Longford Park Athletics Stadium,Stretford,1,,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/022,-2.28935,53.44636
Newham & Essex Beagles Track Open Meetings Summer Series 2023,29-May,May,London Marathon Community Track,London (CT),2,WA F,https://entry4sports.co.uk/,OUT 23/143,-0.016941,51.536909
Cleethorpes Athletics Club Open Meeting,29-May,May,King George V Stadium,Grimsby,1,,,OUT 23/209,-0.0590485,53.555316
BCLF Hurdle Festival Support by England Athletics & Chelmsford Sport & Athletics Centre,29-May,May,Chelmsford Sport & Athletics Centre,Chelmsford,2,WA F,https://data.opentrack.run/en-gb/x/2023/GBR/csac-tn12/,OUT 23/250,0.4505023408,51.75319275
Trafford Grand Prix,30-May,May,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/065,-2.28935,53.44636
North Yorkshire & South Durham Series,30-May,May,Shildon - Stadium 2000,Shildon,1,,http://www.nysd.org.uk/category/track-field/,OUT 23/213,-1.648251,54.632837
Exeter Evening Open Meeting,30-May,May,Exeter Arena,Exeter,1,,https://exeterharriers.org.uk/events/exeter-open-competitions/,OUT 23/342,-3.491320974,50.73765245
BMC Regional - Exeter,30-May,May,Exeter Arena,Exeter,1,,https://www.britishmilersclub.com/,OUT 23/344,-3.491320974,50.73765245
Welsh 3000m & 5000m Championships,31-May,May,Newport Stadium,Newport,2,WA F,,OUT 23/017,-2.959379,51.5737902
Cambridgeshire Evening Open Meeting 1,31-May,May,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,https://data.opentrack.run/en-gb/x/2023/GBR/camopen1/ ,OUT 23/033,-0.092947,52.336512
West Yorkshire League,31-May,May,Princess Mary Athletic Stadium,Cleckheaton,1,,www.wakefield -harriers.co.uk/wytfl/wyl23index.htm,OUT 23/078,-1.7140939,53.7264346
Watford Harriers Open Graded Meetings,31-May,May,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,31-May,May,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
Loughborough Open,31-May,May,Paula Radcliffe Athletics Stadium,Loughborough,2,WA F,https://www.lboro.ac.uk/sport/sports/athletics/competition-entries/,OUT 23/181,-1.230372,52.769183
Chelmsford Open Meeting ,31-May,May,Chelmsford Sport & Athletics Centre,Chelmsford,1,,,OUT 23/240,0.4505023408,51.75319275
"North Eastern Counties AA 10,000m Track Championships",31-May,May,Churchill,Whitley Bay,1,,https://www.nemaa.co.uk/necaa.html,OUT 23/268,-1.4620499,55.045704
Southern Counties Veterans AC Kent Division 1,2-Jun,Jun,Tonbridge School Athletics Track,Tonbridge,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.275167,51.200872
Southern Counties Veterans AC Kent Division 2,2-Jun,Jun,Tonbridge School Athletics Track,Tonbridge,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.275167,51.200872
Northern Senior & U20 Outdoor Championships,3-Jun,Jun,Manchester Regional Athletics Arena (Outdoor),Sportcity,2,WA F,https://www.northernathletics.co.uk/#,OUT 23/047,-2.2039375,53.4838125
Iffley Festival of Miles,3-Jun,Jun,Iffley Road Athletics Track (OU),Oxford,2,WA F,https://data.opentrack.run/en-gb/x/2023/GBR/ifm/,OUT 23/094,-1.2445625,51.7455625
The Tracksmith Amateur Mile,3-Jun,Jun,Tooting Bec Athletics Track,Tooting Bec,1,,https://data.opentrack.run/en-gb/x/2023/GBR/tracksmith2/ ,OUT 23/211,-0.1458246,51.4311924
British Milers Club PB Classic,3-Jun,Jun,Millfield School Athletics Track,Street,1,,,OUT 23/276,-2.726463,51.120136
British Milers PB classic,3-Jun,Jun,Iffley Road Athletics Track (OU),Oxford,1,,,OUT 23/328,-1.2445625,51.7455625
South of England Senior/U20 Championships,3-Jun,Jun,Chelmsford Sport & Athletics Centre,Chelmsford,2,WA F,,OUT 23/245,0.4505023408,51.75319275
Wessex Young Athletes' League,4-Jun,Jun,Salisbury Running Track,Salisbury,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.8018125,51.0814375
Wessex Young Athletes' League,4-Jun,Jun,Down Grange Athletic Track,Basingstoke,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.1265625,51.2483125
Northern Senior & U20 Outdoor Championships,4-Jun,Jun,Manchester Regional Athletics Arena (Outdoor),Sportcity,2,WA F,https://www.northernathletics.co.uk/#,OUT 23/047,-2.2039375,53.4838125
Watford Harriers Minors Meetings,4-Jun,Jun,Woodside Stadium,Watford,1,,https://watfordharriers.org.uk/,OUT 23/062,-0.3945440682,51.69587595
East Anglian League,4-Jun,Jun,Wellesley Recreation Ground,Great Yarmouth,1,,http://cambsathletics.org.uk/east-anglian-tf-league/,OUT 23/124,1.735657,52.615934
East Anglian League,4-Jun,Jun,Embankment Athletics Track,Peterborough,1,,http://cambsathletics.org.uk/east-anglian-tf-league/,OUT 23/124,-0.233043,52.570904
East Anglian League,4-Jun,Jun,West Suffolk Athletics Arena,Bury St. Edmunds,1,,http://cambsathletics.org.uk/east-anglian-tf-league/,OUT 23/124,0.6994769977,52.25094525
UK Youth Development League Lower - Scottish Division 1 - NO POLE VAULT,4-Jun,Jun,Ayrshire Athletics Arena,Kilmarnock,1,,https://www.ukydl.org.uk/,OUT 23/164,-4.480037,55.599577
UK Youth Development League Lower - Scottish Division 2 - NO POLE VAULT,4-Jun,Jun,Ayrshire Athletics Arena,Kilmarnock,1,,https://www.ukydl.org.uk/,OUT 23/164,-4.480037,55.599577
UK Youth Development League Lower - Scottish North East,4-Jun,Jun,Queens Park Athletics Stadium,Inverness,1,,https://www.ukydl.org.uk/,OUT 23/164,-4.225739,57.4790124
Middlesex Young Athletes League,4-Jun,Jun,Bannister Sports Centre,Harrow,1,,,OUT 23/277,-0.3521277401,51.61165605
South of England Senior/U20 Championships,4-Jun,Jun,Chelmsford Sport & Athletics Centre,Chelmsford,2,WA F,,OUT 23/245,0.4505023408,51.75319275
BMC Regional Race,5-Jun,Jun,Beckett Park Athletics Centre,Leeds (B),1,,https://www.britishmilersclub.com/,OUT 23/192,-1.5951875,53.82806249
Southern Counties VAC League - Mid-London Division,5-Jun,Jun,Hillingdon Athletics Centre,Hillingdon,1,,,OUT 23/195,-0.4696,51.532412
North East Masters AA League,5-Jun,Jun,Monkton Stadium,Jarrow,1,,https://www.nemaa.co.uk/track-and-field.html,OUT 23/205,-1.497931582,54.9656323
Derby Athletics Development Association Midweek Opens,6-Jun,Jun,Moorways Athletics Stadium,Derby,1,,,OUT 23/109,-1.457212,52.891228
RJT & NMAC Series Sheffield 2023,6-Jun,Jun,Shu City Athletics Stadium (Woodburn Road),Sheffield,1,,https://www.race-results.co.uk/results/2023/67,OUT 23/295,-1.4324375,53.3894375
Manchester Open Pole Vault,6-Jun,Jun,Manchester Regional Athletics Arena,Sportcity,2,WA F,,OUT 23/302,-2.2039375,53.4838125
Oxon & Bucks Midweek Open Meeting,7-Jun,Jun,Oxford Horspath Athletics Stadium,Horspath,1,,https://www.rosterathletics.com/,OUT 23/114,-1.1871875,51.7374375
Midland Veterans League - North,7-Jun,Jun,Shobnall Athletics Track,Burton,1,,https://mvtfl.wordpress.com/,OUT 23/147,-0.56667,53.26667
Eastern Masters League,7-Jun,Jun,Rockingham Triangle Sports Stadium (Corby),Corby,1,,https://emac.org.uk/2023-tf-league/,OUT 23/215,-0.71468749,52.5070625
Eastern Masters League,7-Jun,Jun,Cambridge University Athletics Track,Cambridge,1,,https://emac.org.uk/2023-tf-league/,OUT 23/215,0.098906,52.206767
Eastern Masters League,7-Jun,Jun,Blackshots Athletic Stadium (Thurrock),Grays,1,,https://emac.org.uk/2023-tf-league/,OUT 23/215,0.3470567,51.4935653
BMC Gold Standard Races,7-Jun,Jun,University of Birmingham,Birmingham (U),2,WA F,,OUT 23/303,-1.93012,52.45082
University of Birmingham Series,7-Jun,Jun,University of Birmingham,Birmingham (U),2,,,OUT 23/331,-1.93012,52.45082
The 14th Joe Moran Memorial  Veteran Meeting,7-Jun,Jun,Manchester Regional Athletics Arena,Sportcity,1,,,OUT 23/338,-2.2039375,53.4838125
Tommy Clay Development Meeting,9-Jun,Jun,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
East Area Prep Schools Championships,9-Jun,Jun,Bedford International Athletics Stadium,Bedford,1,,,OUT 23/340,-0.4418125,52.1336875
British Milers Club Grand Prix,10-Jun,Jun,Paula Radcliffe Athletics Stadium,Loughborough,2,WA D,https://www.britishmilersclub.com/,OUT 23/255,-1.230372,52.769183
South Yorkshire County Schools Championships,10-Jun,Jun,Keepmoat Stadium,Doncaster,1,,,OUT 23/347,-1.113771303,53.50977845
Warwickshire County Schools Championships,10-Jun,Jun,The Pingles Stadium,Nuneaton,1,,,OUT 23/355,-1.464162493,52.515688
Nottinghamshire County Schools Championshisp,10-Jun,Jun,Newark Sports Village,Newark,1,,,OUT 23/356,-0.8000625,53.0620625
West Yorkshire County Schools Championships,10-Jun,Jun,Beckett Park Athletics Centre,Leeds (B),1,,,OUT 23/362,-1.5951875,53.82806249
National Athletics League Premier Division Fixture A,11-Jun,Jun,Manchester Regional Athletics Arena,Sportcity,2,WA E,https://www.nationalathleticsleague.org.uk/,OUT 23/023,-2.2039375,53.4838125
Wessex Young Athletes' League,11-Jun,Jun,Aldershot Military Stadium,Aldershot,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-0.7545890271,51.26467925
Wessex Young Athletes' League,11-Jun,Jun,University of Winchester,Winchester,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.3038125,51.05431249
National Athletics League Premier Division Fixture B,11-Jun,Jun,Thames Valley Athletics Centre (Eton),Eton,2,WA F,https://www.nationalathleticsleague.org.uk/,OUT 23/068,-0.5959682922,51.49453235
Humber County AA  Open Series 1,11-Jun,Jun,Costello Stadium,Hull,1,,,OUT 23/081,-0.4107359,53.7372742
Midland Masters Championships,11-Jun,Jun,The Pingles Stadium,Nuneaton,2,,,OUT 23/174,-1.464162493,52.515688
National Athletics League Division 1,11-Jun,Jun,Palmer Park Athletic Track,Reading,1,,,OUT 23/193,-0.9696512,51.456659
Manx Harriers Championships,11-Jun,Jun,National Sports Centre (IOM),Douglas,1,,,OUT 23/225,-4.504653,54.152616
Aztec Track & Field Series,11-Jun,Jun,Footes Lane (Garenne Stand),St. Peter Port,1,,,OUT 23/230,-2.5639734,49.4645552
Triangular League,11-Jun,Jun,Dell Athletics Stadium,Brierley Hill,1,,,OUT 23/282,-2.1237803,52.4823185
Trafford Grand Prix,13-Jun,Jun,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/065,-2.28935,53.44636
BMC Gold Standard  - Trafford ,13-Jun,Jun,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.britishmilersclub.com/,OUT 23/125,-2.28935,53.44636
Cambridgeshire Evening Open Meeting 2,14-Jun,Jun,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,https://data.opentrack.run/en-gb/x/2023/GBR/camopen2/,OUT 23/034,-0.092947,52.336512
Watford Harriers Open Graded Meetings,14-Jun,Jun,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,14-Jun,Jun,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
BMC Watford Gold Standard,14-Jun,Jun,Woodside Stadium,Watford,2,WA F,https://www.britishmilersclub.com/,OUT 23/138,-0.3945440682,51.69587595
Manchester World Athletics Continental Tour - CANCELLED,14-Jun,Jun,Manchester Regional Athletics Arena (Outdoor),Sportcity,2,,,CANCELLED,-2.2039375,53.4838125
